X,Y,OBJECTID,PROJECT_NA,AV_ADD,TOOLTIP,NLA_URL
-118.371918529643,34.173118942445,844,5648 Case Ave Apts,5648 N. CASE AVE.,Project Name: 5648 Case Ave Apts\nAddress: 5648 N. CASE AVE.,navigatela/reports/affordable_housing.cfm?pk=844
-118.243764072875,34.0397177798483,845,Lamp Lodge,660 STANFORD AVENUE,Project Name: Lamp Lodge\nAddress: 660 STANFORD AVENUE,navigatela/reports/affordable_housing.cfm?pk=845
-118.342432708726,34.0992186286161,846,Lanewood Apts.,7033 W. LANEWOOD AVE.,Project Name: Lanewood Apts.\nAddress: 7033 W. LANEWOOD AVE.,navigatela/reports/affordable_housing.cfm?pk=846
-118.282084367926,34.0482237222847,847,Larsen Apts.,1237 S. ALVARADO ST.,Project Name: Larsen Apts.\nAddress: 1237 S. ALVARADO ST.,navigatela/reports/affordable_housing.cfm?pk=847
-118.238207683425,34.0381702848148,848,Las Americas Hotel,1205 E. 6TH STREET,Project Name: Las Americas Hotel\nAddress: 1205 E. 6TH STREET,navigatela/reports/affordable_housing.cfm?pk=848
-118.414111937463,34.2417856232696,849,9505 LAUREL CANYON APTS,9505 N. LAUREL CANYON BLVD.,Project Name: 9505 LAUREL CANYON APTS\nAddress: 9505 N. LAUREL CANYON BLVD.,navigatela/reports/affordable_housing.cfm?pk=849
-118.314477067864,34.0447895263638,850,1532 S. Wilton Place,1532 S. WILTON PL.,Project Name: 1532 S. Wilton Place\nAddress: 1532 S. WILTON PL.,navigatela/reports/affordable_housing.cfm?pk=850
-118.292370400964,34.0155050884778,851,1029 w. 39th street apts,1029 W. 39TH ST.,Project Name: 1029 w. 39th street apts\nAddress: 1029 W. 39TH ST.,navigatela/reports/affordable_housing.cfm?pk=851
-118.374699121983,34.1591447424067,852,Lewis Jeary Zipora,11204 W. PEACH GROVE ST.,Project Name: Lewis Jeary Zipora\nAddress: 11204 W. PEACH GROVE ST.,navigatela/reports/affordable_housing.cfm?pk=852
-118.376269591378,34.1706369129905,853,Lieberman/Benandon,5528 N. ELMER AVE.,Project Name: Lieberman/Benandon\nAddress: 5528 N. ELMER AVE.,navigatela/reports/affordable_housing.cfm?pk=853
-118.374091426227,34.1706978735892,854,5530 Bonner Apts,5530 N. BONNER AVE.,Project Name: 5530 Bonner Apts\nAddress: 5530 N. BONNER AVE.,navigatela/reports/affordable_housing.cfm?pk=854
-118.202499290849,34.0225159529752,855,3457 GARNET,3457 E. GARNET ST.,Project Name: 3457 GARNET\nAddress: 3457 E. GARNET ST.,navigatela/reports/affordable_housing.cfm?pk=855
-118.371195546311,34.2175145585694,856,Lorne Park,11040 LORNE ST.,Project Name: Lorne Park\nAddress: 11040 LORNE ST.,navigatela/reports/affordable_housing.cfm?pk=856
-118.282176513719,34.0320275619925,857,2367-69 portland street apts,2367 S. PORTLAND ST.,Project Name: 2367-69 portland street apts\nAddress: 2367 S. PORTLAND ST.,navigatela/reports/affordable_housing.cfm?pk=857
-118.370797039059,34.1649372111839,858,Magnolia Towers,11011 W. MAGNOLIA BLVD.,Project Name: Magnolia Towers\nAddress: 11011 W. MAGNOLIA BLVD.,navigatela/reports/affordable_housing.cfm?pk=858
-118.366443151917,34.1659370346974,859,Magnolia Villas South,5238 N. HARMONY AVE.,Project Name: Magnolia Villas South\nAddress: 5238 N. HARMONY AVE.,navigatela/reports/affordable_housing.cfm?pk=859
-118.209459948293,34.0515259608802,860,2107 sheridan st apts,2107 E. SHERIDAN ST.,Project Name: 2107 sheridan st apts\nAddress: 2107 E. SHERIDAN ST.,navigatela/reports/affordable_housing.cfm?pk=860
-118.287301278198,34.0101071629503,861,Martin Luther King Jr. Village,801 W. 40TH PL.,Project Name: Martin Luther King Jr. Village\nAddress: 801 W. 40TH PL.,navigatela/reports/affordable_housing.cfm?pk=861
-118.204919593155,34.0513055772053,862,811 N. SOTO APTS,811 N. SOTO ST.,Project Name: 811 N. SOTO APTS\nAddress: 811 N. SOTO ST.,navigatela/reports/affordable_housing.cfm?pk=862
-118.36425747222,34.1670800411152,863,5320 denny ave apts,5320 N. DENNY AVE.,Project Name: 5320 denny ave apts\nAddress: 5320 N. DENNY AVE.,navigatela/reports/affordable_housing.cfm?pk=863
-118.247286818768,34.0162717846857,864,"Martinez, Socorro M.",1477 E. 25TH ST.,"Project Name: Martinez, Socorro M.\nAddress: 1477 E. 25TH ST.",navigatela/reports/affordable_housing.cfm?pk=864
-118.290235787107,34.0877011178408,865,Mary-Lind Foundation/1,4439 BURNS AVE.,Project Name: Mary-Lind Foundation/1\nAddress: 4439 BURNS AVE.,navigatela/reports/affordable_housing.cfm?pk=865
-118.365353693789,34.1669702824996,866,5314 RIVERTON APTS,5314 N. RIVERTON AVE.,Project Name: 5314 RIVERTON APTS\nAddress: 5314 N. RIVERTON AVE.,navigatela/reports/affordable_housing.cfm?pk=866
-118.274492240493,34.0455213263221,867,"Mchugh,Frank(Mchugh Apartment)",1513 W. 12TH PL.,"Project Name: Mchugh,Frank(Mchugh Apartment)\nAddress: 1513 W. 12TH PL.",navigatela/reports/affordable_housing.cfm?pk=867
-118.262129163814,34.0450826425024,868,Metropolitan,950 S. FLOWER ST.,Project Name: Metropolitan\nAddress: 950 S. FLOWER ST.,navigatela/reports/affordable_housing.cfm?pk=868
-118.279734026109,34.0498208628987,869,2003 W. 11TH ST APTS,2003 W. 11TH ST.,Project Name: 2003 W. 11TH ST APTS\nAddress: 2003 W. 11TH ST.,navigatela/reports/affordable_housing.cfm?pk=869
-118.293567744545,34.032767684723,870,1475 W. Adams Apts,1475 W. ADAMS BLVD.,Project Name: 1475 W. Adams Apts\nAddress: 1475 W. ADAMS BLVD.,navigatela/reports/affordable_housing.cfm?pk=870
-118.239393656767,34.0473163575082,871,Miyako Gardens,223 S. CENTRAL AVE.,Project Name: Miyako Gardens\nAddress: 223 S. CENTRAL AVE.,navigatela/reports/affordable_housing.cfm?pk=871
-118.335112026667,34.1052184321615,872,Montecito Apts.,6650 W. FRANKLIN AVE.,Project Name: Montecito Apts.\nAddress: 6650 W. FRANKLIN AVE.,navigatela/reports/affordable_housing.cfm?pk=872
-118.187968592943,34.0907005449698,873,Monterey Terrace,3800 MONTEREY RD.,Project Name: Monterey Terrace\nAddress: 3800 MONTEREY RD.,navigatela/reports/affordable_housing.cfm?pk=873
-118.391274608822,34.2728935685587,874,Mountainback II,11800 W. FOOTHILL BLVD.,Project Name: Mountainback II\nAddress: 11800 W. FOOTHILL BLVD.,navigatela/reports/affordable_housing.cfm?pk=874
-118.289604603701,34.0424024050823,875,1741 Westmoreland Blvd,1741 S. WESTMORELAND BLVD.,Project Name: 1741 Westmoreland Blvd\nAddress: 1741 S. WESTMORELAND BLVD.,navigatela/reports/affordable_housing.cfm?pk=875
-118.207218755278,34.0246816308201,876,"Mungia, Christina",3220 E. GARNET ST.,"Project Name: Mungia, Christina\nAddress: 3220 E. GARNET ST.",navigatela/reports/affordable_housing.cfm?pk=876
-118.277293021248,34.0440054316817,877,1330 S. UNION AVENUE APTS,1330 S. UNION AVE.,Project Name: 1330 S. UNION AVENUE APTS\nAddress: 1330 S. UNION AVE.,navigatela/reports/affordable_housing.cfm?pk=877
-118.279678117142,34.0472854878545,878,"Newman, William J. & Kathleen",1216 S. BONNIE BRAE ST.,"Project Name: Newman, William J. & Kathleen\nAddress: 1216 S. BONNIE BRAE ST.",navigatela/reports/affordable_housing.cfm?pk=878
-118.415177492912,34.2427915957508,879,Nikkei Village,9551-9557 LAUREL CANYON BLVD.,Project Name: Nikkei Village\nAddress: 9551-9557 LAUREL CANYON BLVD.,navigatela/reports/affordable_housing.cfm?pk=879
-118.376127765697,34.1608153206399,880,North Hollywood Park Apts,11251 W. MORRISON AVE.,Project Name: North Hollywood Park Apts\nAddress: 11251 W. MORRISON AVE.,navigatela/reports/affordable_housing.cfm?pk=880
-118.281060953575,34.0420252353826,881,"O'Donovan, Christine",1631 S. BURLINGTON AVE.,"Project Name: O'Donovan, Christine\nAddress: 1631 S. BURLINGTON AVE.",navigatela/reports/affordable_housing.cfm?pk=881
-118.2816061403,34.0412105854759,882,1711 S. Burlington,1711 S. BURLINGTON AVE.,Project Name: 1711 S. Burlington\nAddress: 1711 S. BURLINGTON AVE.,navigatela/reports/affordable_housing.cfm?pk=882
-118.282731362454,33.9761035339666,883,Oakview-70th,503 W. 70TH ST.,Project Name: Oakview-70th\nAddress: 503 W. 70TH ST.,navigatela/reports/affordable_housing.cfm?pk=883
-118.256257631195,34.0459029858021,884,Olive Hotel,750 S. OLIVE STREET,Project Name: Olive Hotel\nAddress: 750 S. OLIVE STREET,navigatela/reports/affordable_housing.cfm?pk=884
-118.242282941661,34.0375365617358,885,Olympia Hotel (Part I),1201 E. 7TH STREET,Project Name: Olympia Hotel (Part I)\nAddress: 1201 E. 7TH STREET,navigatela/reports/affordable_housing.cfm?pk=885
-118.281018682148,34.0300835141692,886,2620 severance st apts,2620 S. SEVERANCE ST.,Project Name: 2620 severance st apts\nAddress: 2620 S. SEVERANCE ST.,navigatela/reports/affordable_housing.cfm?pk=886
-118.195200485991,34.0252370805963,887,"Otero Apartments, Ltd",3639 E. WHITTIER BLVD.,"Project Name: Otero Apartments, Ltd\nAddress: 3639 E. WHITTIER BLVD.",navigatela/reports/affordable_housing.cfm?pk=887
-118.262275781992,34.0412575938746,888,Oxford Hotel,1120 S. GRAND AVENUE,Project Name: Oxford Hotel\nAddress: 1120 S. GRAND AVENUE,navigatela/reports/affordable_housing.cfm?pk=888
-118.244911839267,34.0445560958841,889,Panama Hotel,403 E. 5TH STREET,Project Name: Panama Hotel\nAddress: 403 E. 5TH STREET,navigatela/reports/affordable_housing.cfm?pk=889
-118.364797839567,34.1616110472818,890,5017 Denny Ave Apts,5017 N. DENNY AVE.,Project Name: 5017 Denny Ave Apts\nAddress: 5017 N. DENNY AVE.,navigatela/reports/affordable_housing.cfm?pk=890
-118.469860463,34.2284849408378,891,Parthanon Apartments,8711 N. LANGDON AVE.,Project Name: Parthanon Apartments\nAddress: 8711 N. LANGDON AVE.,navigatela/reports/affordable_housing.cfm?pk=891
-118.218602304667,34.0471443433803,892,114 Bailey Street,114 N. BAILEY ST.,Project Name: 114 Bailey Street\nAddress: 114 N. BAILEY ST.,navigatela/reports/affordable_housing.cfm?pk=892
-118.218055446391,34.0479789113047,893,1800 Pennsylvania Ave,1800 E. PENNSYLVANIA AVE.,Project Name: 1800 Pennsylvania Ave\nAddress: 1800 E. PENNSYLVANIA AVE.,navigatela/reports/affordable_housing.cfm?pk=893
-118.308946028902,33.7957947606312,894,PENINSULA COMMITTEE HOUSE,1729 WEST 252ND ST.,Project Name: PENINSULA COMMITTEE HOUSE\nAddress: 1729 WEST 252ND ST.,navigatela/reports/affordable_housing.cfm?pk=894
-118.275685554988,34.0492533296558,895,Pico Union Ii Scattered Sites,1032 S. BEACON AVE.,Project Name: Pico Union Ii Scattered Sites\nAddress: 1032 S. BEACON AVE.,navigatela/reports/affordable_housing.cfm?pk=895
-118.22226660254,34.0516201741166,896,Pleasant Hills Home,1315 PLEASANT AVE.,Project Name: Pleasant Hills Home\nAddress: 1315 PLEASANT AVE.,navigatela/reports/affordable_housing.cfm?pk=896
-118.468675247946,34.2428043544982,897,Plummer Village Apartments,15450 PLUMMER ST.,Project Name: Plummer Village Apartments\nAddress: 15450 PLUMMER ST.,navigatela/reports/affordable_housing.cfm?pk=897
-118.262314689633,34.03747826292,898,PORTSMOUTH HOTEL,1308 S. HILL ST.,Project Name: PORTSMOUTH HOTEL\nAddress: 1308 S. HILL ST.,navigatela/reports/affordable_housing.cfm?pk=898
-118.243654215993,34.0385141109323,899,Prentice Apartments,1010 E. 7TH ST.,Project Name: Prentice Apartments\nAddress: 1010 E. 7TH ST.,navigatela/reports/affordable_housing.cfm?pk=899
-118.327509320359,34.1098042841322,900,Primrose Apts.,6337 W. PRIMROSE AVE.,Project Name: Primrose Apts.\nAddress: 6337 W. PRIMROSE AVE.,navigatela/reports/affordable_housing.cfm?pk=900
-118.240784796858,34.0371788802146,901,Produce Apartments,676 S. CENTRAL AVE.,Project Name: Produce Apartments\nAddress: 676 S. CENTRAL AVE.,navigatela/reports/affordable_housing.cfm?pk=901
-118.25237051048,34.0573529828732,902,Promenade Towers,123 S. FIGUEROA ST.,Project Name: Promenade Towers\nAddress: 123 S. FIGUEROA ST.,navigatela/reports/affordable_housing.cfm?pk=902
-118.213151659413,34.0775027752067,903,2670 Sichel St Apts,2670 N. SICHEL ST.,Project Name: 2670 Sichel St Apts\nAddress: 2670 N. SICHEL ST.,navigatela/reports/affordable_housing.cfm?pk=903
-118.213023033783,34.0708417374696,904,2238 Sichel St Apts,2238 N. SICHEL ST.,Project Name: 2238 Sichel St Apts\nAddress: 2238 N. SICHEL ST.,navigatela/reports/affordable_housing.cfm?pk=904
-118.203782675118,34.0272564558811,905,954 s. concord APTS,954 S. CONCORD ST.,Project Name: 954 s. concord APTS\nAddress: 954 S. CONCORD ST.,navigatela/reports/affordable_housing.cfm?pk=905
-118.265386383642,34.069652081485,906,Bonnie Brae Apts.,417 N. BONNIE BRAE ST.,Project Name: Bonnie Brae Apts.\nAddress: 417 N. BONNIE BRAE ST.,navigatela/reports/affordable_housing.cfm?pk=906
-118.570977508421,34.1893943975778,907,Rancho Del Valle,6530-6560 N. WINNETKA AVE.,Project Name: Rancho Del Valle\nAddress: 6530-6560 N. WINNETKA AVE.,navigatela/reports/affordable_housing.cfm?pk=907
-118.242360047026,34.0404710022945,908,Regal Hotel,815 E. 6TH ST.,Project Name: Regal Hotel\nAddress: 815 E. 6TH ST.,navigatela/reports/affordable_housing.cfm?pk=908
-118.346917731441,34.1016066139506,909,Regency Manor Apartments,7205 W. HOLLYWOOD BLVD.,Project Name: Regency Manor Apartments\nAddress: 7205 W. HOLLYWOOD BLVD.,navigatela/reports/affordable_housing.cfm?pk=909
-118.450590147068,34.2413907320108,910,heywood gardens,14610 W. GLEDHILL ST.,Project Name: heywood gardens\nAddress: 14610 W. GLEDHILL ST.,navigatela/reports/affordable_housing.cfm?pk=910
-118.285073309944,34.0344034324642,911,1142 W. 24th Street Apts,1142 W. 24TH ST.,Project Name: 1142 W. 24th Street Apts\nAddress: 1142 W. 24TH ST.,navigatela/reports/affordable_housing.cfm?pk=911
-118.292836429188,34.0345527183332,912,1446 w. 24th street apts,1446 W. 24TH ST.,Project Name: 1446 w. 24th street apts\nAddress: 1446 W. 24TH ST.,navigatela/reports/affordable_housing.cfm?pk=912
-118.210546767504,34.0480236241024,913,2138 BROOKLYN AVENUE APTS,2138 E. CESAR E. CHAVEZ AVE.,Project Name: 2138 BROOKLYN AVENUE APTS\nAddress: 2138 E. CESAR E. CHAVEZ AVE.,navigatela/reports/affordable_housing.cfm?pk=913
-118.275700631924,34.0441072167326,914,FLORES APARTMENTS,1507 W. PICO BLVD.,Project Name: FLORES APARTMENTS\nAddress: 1507 W. PICO BLVD.,navigatela/reports/affordable_housing.cfm?pk=914
-118.216425921045,34.0472691127032,915,1914 Pennsylvania Ave Apts,1914 E. PENNSYLVANIA AVE.,Project Name: 1914 Pennsylvania Ave Apts\nAddress: 1914 E. PENNSYLVANIA AVE.,navigatela/reports/affordable_housing.cfm?pk=915
-118.199016373399,34.0209958120624,916,1146 esperanza street,1146 S. ESPERANZA ST.,Project Name: 1146 esperanza street\nAddress: 1146 S. ESPERANZA ST.,navigatela/reports/affordable_housing.cfm?pk=916
-118.207327765324,34.0252164220843,917,1109 S GRANDE VISTA APTS,1109 S GRANDE VISTA AVE.,Project Name: 1109 S GRANDE VISTA APTS\nAddress: 1109 S GRANDE VISTA AVE.,navigatela/reports/affordable_housing.cfm?pk=917
-118.374089645581,34.1709082148468,918,5540 BONNER AVENUE APTS,5540 N. BONNER AVE.,Project Name: 5540 BONNER AVENUE APTS\nAddress: 5540 N. BONNER AVE.,navigatela/reports/affordable_housing.cfm?pk=918
-118.245191973783,34.0442094382556,919,Russ Hotel,521 S. SAN JULIAN ST.,Project Name: Russ Hotel\nAddress: 521 S. SAN JULIAN ST.,navigatela/reports/affordable_housing.cfm?pk=919
-118.455318995547,34.1856851945123,920,S F V Mental Health Center,14803 W. FRIAR ST.,Project Name: S F V Mental Health Center\nAddress: 14803 W. FRIAR ST.,navigatela/reports/affordable_housing.cfm?pk=920
-118.206377198134,34.0510486898025,921,724 N. BREED STREET APTS,592 N. BREED ST.,Project Name: 724 N. BREED STREET APTS\nAddress: 592 N. BREED ST.,navigatela/reports/affordable_housing.cfm?pk=921
-118.240938869366,34.0503173204081,922,San Pedro Firm Building,108 N. SAN PEDRO ST.,Project Name: San Pedro Firm Building\nAddress: 108 N. SAN PEDRO ST.,navigatela/reports/affordable_housing.cfm?pk=922
-118.211571858482,34.0663342795132,923,Porfirio Sandoval,1921 N. GRIFFIN AVE.,Project Name: Porfirio Sandoval\nAddress: 1921 N. GRIFFIN AVE.,navigatela/reports/affordable_housing.cfm?pk=923
-118.230350623603,34.0152307342281,924,Santa Fe Art Colony,2401-21 S. SANTA FE AVE.,Project Name: Santa Fe Art Colony\nAddress: 2401-21 S. SANTA FE AVE.,navigatela/reports/affordable_housing.cfm?pk=924
-118.280379010205,34.0433113420762,925,1440 S. Burlington Apts,1440 S. BURLINGTON AVE.,Project Name: 1440 S. Burlington Apts\nAddress: 1440 S. BURLINGTON AVE.,navigatela/reports/affordable_housing.cfm?pk=925
-118.294299030288,34.0327650262938,926,1501 W. Adams Blvd Apts,1501 W. ADAMS BLVD.,Project Name: 1501 W. Adams Blvd Apts\nAddress: 1501 W. ADAMS BLVD.,navigatela/reports/affordable_housing.cfm?pk=926
-118.3320974869,34.1023211063858,927,Selby Hotel,1740 N. HUDSON,Project Name: Selby Hotel\nAddress: 1740 N. HUDSON,navigatela/reports/affordable_housing.cfm?pk=927
-118.36535218613,34.1659815936461,928,5260 Riverton Ave Apts,5260 N. RIVERTON AVE.,Project Name: 5260 Riverton Ave Apts\nAddress: 5260 N. RIVERTON AVE.,navigatela/reports/affordable_housing.cfm?pk=928
-118.305766874887,34.036241808387,929,Sheridan East Villa/2,2210 S. LA SALLE AVE.,Project Name: Sheridan East Villa/2\nAddress: 2210 S. LA SALLE AVE.,navigatela/reports/affordable_housing.cfm?pk=929
-118.295342358647,34.0334757423855,930,Sheridan South Villa,2521 S. JULIET ST.,Project Name: Sheridan South Villa\nAddress: 2521 S. JULIET ST.,navigatela/reports/affordable_housing.cfm?pk=930
-118.295446484726,34.0327609157304,931,Sheridan South Villa,1531 W. ADAMS BLVD.,Project Name: Sheridan South Villa\nAddress: 1531 W. ADAMS BLVD.,navigatela/reports/affordable_housing.cfm?pk=931
-118.283991511004,34.0362011520084,932,Sheridan West Villa,2131 S. HOOVER STREET,Project Name: Sheridan West Villa\nAddress: 2131 S. HOOVER STREET,navigatela/reports/affordable_housing.cfm?pk=932
-118.197482264805,34.0234159284121,933,1017 ESPERANZA ST APTS,1017 S. ESPERANZA ST.,Project Name: 1017 ESPERANZA ST APTS\nAddress: 1017 S. ESPERANZA ST.,navigatela/reports/affordable_housing.cfm?pk=933
